Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","134.87","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","134.9344","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","134.9988","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","135.0847","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","135.192","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","135.4282","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","135.557","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","135.9863","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1992","1992","1000 ha","66.0555","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1993","1993","1000 ha","67.9928","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1994","1994","1000 ha","70.0987","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1995","1995","1000 ha","72.468","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1996","1996","1000 ha","74.7023","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1997","1997","1000 ha","77.22","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1998","1998","1000 ha","79.6838","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1999","1999","1000 ha","82.458","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2000","2000","1000 ha","84.9758","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","91.5503","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","103.5045","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","117.2272","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","130.788","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","131.6115","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","132.2055","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","132.8467","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","133.7985","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","133.8322","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","133.9065","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","133.9538","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","134.0482","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","134.1022","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","134.1832","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","134.2305","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2001","2001","1000 ha","260.982","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2002","2002","1000 ha","269.665","FC","Calculated data"
