Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2011","2011","tonnes","44.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2012","2012","tonnes","37.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2013","2013","tonnes","37.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2014","2014","tonnes","49.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2015","2015","tonnes","28.4","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2016","2016","tonnes","17.1","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2017","2017","tonnes","19.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2011","2011","tonnes","6.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2012","2012","tonnes","20","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2013","2013","tonnes","19","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2014","2014","tonnes","17.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2015","2015","tonnes","24.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1312","Insecticides – Carbamates","2016","2016","tonnes","24.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2011","2011","tonnes","6.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2012","2012","tonnes","8.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2013","2013","tonnes","8.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2014","2014","tonnes","11.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2015","2015","tonnes","15","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2016","2016","tonnes","13.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1313","Insecticides – Pyrethroids","2017","2017","tonnes","14.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2011","2011","tonnes","2.4","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2012","2012","tonnes","2.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2013","2013","tonnes","6.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2014","2014","tonnes","3.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2015","2015","tonnes","6.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2016","2016","tonnes","26.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1314","Insecticides – Botanical products and biologicals","2017","2017","tonnes","25.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2011","2011","tonnes","232.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2012","2012","tonnes","211.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2013","2013","tonnes","210.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2014","2014","tonnes","184.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
